lake_name,date,scene_id,cloud_cover,temp_mean_c,temp_min_c,temp_max_c,temp_std_c,valid_pixels,lat,lon,surface_area_km2
Lake Champlain,2025-10-17,LC08_L2SP_013030_20251017_02_T1,1.39,12.258883248355321,8.32561916000003,16.82623490000003,0.9184616163251799,17146,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-10-16,LC09_L2SP_014030_20251016_02_T1,1.9,12.307921346128511,1.5989557999999988,15.708542360000024,0.8884838669037535,44174,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-10-16,LC09_L2SP_014029_20251016_02_T1,18.82,12.803308140621306,-5.148215679999964,17.43806047999999,2.987526165837734,1241841,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-10-09,LC09_L2SP_013030_20251009_02_T1,4.82,13.165404880431696,-5.066183199999955,17.704666040000006,4.319239848307109,20571,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-10-08,LC08_L2SP_014029_20251008_02_T1,17.56,14.383397748430784,-8.176581399999975,21.471324080000045,4.6043520584444995,1241747,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-10-01,LC08_L2SP_013030_20251001_02_T1,0.36,17.649145459480753,14.912143700000001,20.68176146000002,0.6228580302731944,14559,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-09-30,LC09_L2SP_014030_20250930_02_T1,1.01,19.11731368077404,17.84822287999998,23.737471340000013,0.63682317637865,44805,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-09-30,LC09_L2SP_014029_20250930_02_T1,0.13,18.77090494838251,5.580949099999998,27.572489780000012,0.6936515892869565,1241741,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-09-15,LC08_L2SP_013030_20250915_02_T1,8.01,22.131427789418957,20.753539880000005,28.071520700000008,1.260034046865011,14921,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-08-22,LC09_L2SP_013030_20250822_02_T1,3.07,25.0377515613905,22.982088920000024,32.825986520000015,1.5094337259720152,16052,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-08-21,LC08_L2SP_014030_20250821_02_T1,20.63,23.373089598986816,21.936174800000003,30.23170934000001,0.9443098676299208,45302,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-08-21,LC08_L2SP_014029_20250821_02_T1,2.71,22.612088143514658,19.998157460000016,36.182482160000006,0.9564550885224778,1241686,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-07-29,LC08_L2SP_013030_20250729_02_T1,9.27,26.535478640897253,9.487745959999984,39.32022452000001,5.401542978012491,12037,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-07-28,LC09_L2SP_014030_20250728_02_T1,14.8,25.801563708991985,19.263283160000015,31.482704660000024,0.9416367286777779,45296,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-07-28,LC09_L2SP_014029_20250728_02_T1,6.64,25.332041881799952,19.55039684000002,39.06045500000005,1.8859419508520145,1241679,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-07-20,LC08_L2SP_014029_20250720_02_T2,22.68,-11.396180482443931,-14.998949319999952,20.066517860000033,4.263613833485507,138718,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-07-12,LC09_L2SP_014029_20250712_02_T1,19.64,23.75868565249212,10.000448960000028,38.35634288000006,1.9049881528287793,1241676,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-07-04,LC08_L2SP_014030_20250704_02_T1,16.39,22.53746608500776,0.09160898000004636,31.503212780000013,4.98405578379168,45202,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-06-19,LC09_L2SP_013030_20250619_02_T1,20.05,25.00086530489883,16.682678060000057,34.28548106000005,2.138356647407625,15812,44.596407636088465,-73.30646026042757,1120.2444191290474
Lake Champlain,2025-06-03,LC09_L2SP_013030_20250603_02_T1,0.01,18.925516915906268,17.390208200000018,27.69212048000003,1.143627154057694,13440,44.596407636088465,-73.30646026042757,1120.2444191290474
